Date,Distributor,Hub,Inv.Value(RMB),Product Hierarchy - Brand,Store Group Channel,IDS GIV
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,B Store,254.45
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,CB,143.3
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,CVS,398.68
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,DCP,382.56
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,DKS,23.24
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,DMW,49.99
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,DP.com,114.49
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,EB,22.82
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,Grocery & Others,488.28
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,HSM,6573.64
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,ICP,0.0
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,MM,992.88
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,300000.0,H&S,WS,0.0
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,B Store,205.76
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,CB,129.1
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,CVS,340.88
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,DCP,261.93
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,DKS,24.76
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,DMW,55.88
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,DP.com,85.57
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,EB,16.09
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,Grocery & Others,321.36
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,HSM,7351.04
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,ICP,1367.95
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,MM,789.57
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,290555.65,H&S,WS,0.0
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,B Store,224.0
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,CB,105.26
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,CVS,560.94
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,DCP,404.27
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,DKS,33.47
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,DMW,51.37
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,DP.com,106.1
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,EB,22.06
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,Grocery & Others,473.29
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,HSM,7004.87
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,279605.76,H&S,ICP,0.0
