Date,Distributor,Hub,Inv.Value(RMB),Product Hierarchy - Brand,Store Group Channel,IDS GIV
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,B Store,113.44
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,CB,344.41
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,CVS,424.55
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,DCP,362.7
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,DKS,93.2
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,DMW,320.82
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,DP.com,242.9
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,EB,24.47
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,Grocery & Others,1005.17
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,HSM,19121.55
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,ICP,0.0
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,MM,820.09
2025-01-01,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,80000.0,H&S,WS,0.0
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,B Store,146.18
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,CB,379.68
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,CVS,444.42
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,DCP,425.26
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,DKS,42.5
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,DMW,232.15
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,DP.com,233.03
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,EB,2.81
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,Grocery & Others,916.61
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,HSM,16723.71
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,ICP,0.0
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,MM,875.45
2025-01-02,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,57126.7,H&S,WS,0.0
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,B Store,175.03
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,CB,318.6
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,CVS,364.23
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,DCP,326.69
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,DKS,210.49
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,DMW,287.08
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,DP.com,205.5
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,EB,20.75
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,Grocery & Others,1273.86
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,HSM,16821.58
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,ICP,3453.42
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,MM,1143.69
2025-01-03,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,36704.9,H&S,WS,3302.48
2025-01-04,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,8801.49,H&S,B Store,55.8
2025-01-04,WuHan_Chuangjie,武汉创洁工贸淡化股份有限公司-武汉东西湖,8801.49,H&S,CB,153.02
